converted,GameLevel,NumGameDays,NumGameDays4Plus,NumInGameMessagesSent,NumSpaceHeroBadges,NumFriendRequestIgnored,NumFriends,AcquiredSpaceship,AcquiredIonWeapon,TimesLostSpaceship,TimesKilled,TimesCaptain,TimesNavigator,PurchasedCoinPackSmall,PurchasedCoinPackLarge,NumAdsClicked,DaysUser,UserConsole,UserHasOldOS,training
no,8,19,1,48,0,2,44,no,no,0,0,0,0,yes,yes,12,3319,yes,no,1
no,2,19,12,113,0,92,17,yes,no,2,0,0,0,no,no,5,2557,yes,no,0
yes,7,13,7,207,3,98,60,yes,no,0,0,0,36,no,yes,5,2162,yes,yes,1
yes,6,15,15,160,9,6,193,no,no,0,0,26,10,no,no,5,2192,yes,no,1
no,2,18,0,0,0,0,0,no,no,0,0,0,0,no,no,1,2162,yes,no,0
no,9,18,7,2,0,47,0,no,no,0,0,0,0,no,no,7,3288,yes,no,0
no,8,14,4,0,0,0,0,no,no,0,0,0,0,no,no,4,2922,yes,no,1
no,5,2,0,126,0,1,3,no,no,0,0,0,0,no,no,12,2647,yes,no,1
no,5,1,0,50,0,5,0,yes,no,3,0,0,0,no,yes,9,2527,no,no,1
no,2,2,0,0,0,0,23,no,no,0,0,0,0,no,yes,7,1308,no,no,1
no,2,1,0,0,0,0,11,no,no,0,0,0,0,yes,no,11,3288,yes,no,0
no,7,10,0,23,0,4,10,no,no,2,0,0,0,no,no,9,2466,yes,no,0
no,10,7,0,0,0,0,218,no,no,0,0,0,0,no,no,17,1370,yes,no,1
yes,10,20,11,13,5,10,319,no,no,0,0,7,1,no,no,8,2527,no,no,0
no,9,18,0,0,0,0,0,no,no,6,0,0,0,no,no,6,3715,yes,no,0
no,9,8,0,214,0,81,51,no,no,15,0,0,0,no,no,8,2009,yes,yes,1
no,5,20,0,211,0,120,79,yes,no,0,0,0,0,no,no,8,2739,yes,yes,0
yes,6,1,0,0,1,1,3,no,no,0,0,0,0,no,yes,7,2070,no,no,1
no,10,11,0,0,0,1,0,yes,no,0,0,42,0,no,yes,11,2131,yes,no,1
no,5,16,0,104,3,5,93,no,no,0,0,0,0,yes,no,4,3166,no,no,1
no,5,19,0,66,0,43,6,no,no,0,0,0,0,no,yes,11,2861,no,no,1
no,2,10,0,0,0,0,101,no,no,0,0,0,0,yes,no,6,2527,yes,no,0
no,8,16,1,0,0,0,0,no,no,8,0,0,0,no,yes,11,3166,yes,no,1
no,9,4,0,127,0,107,0,no,no,0,0,0,1,no,no,9,2374,yes,no,1
no,8,4,0,0,0,10,74,no,no,0,0,0,2,no,yes,6,2984,yes,no,0
no,6,20,0,145,0,19,45,no,no,4,0,0,0,no,yes,11,2922,yes,no,1
no,9,16,5,58,0,38,288,no,no,0,0,0,10,yes,no,19,2678,yes,yes,0
no,2,7,1,0,0,0,51,no,no,4,0,0,0,no,yes,3,2254,yes,no,1
no,5,1,0,0,0,0,84,yes,no,8,0,14,1,no,no,11,2313,yes,no,1
no,6,10,8,167,0,0,0,yes,no,5,0,0,0,no,no,9,2131,yes,no,1
yes,4,1,1,92,1,32,81,yes,no,0,0,0,0,yes,yes,1,2131,no,no,1
no,9,7,0,210,0,108,2,no,no,2,0,0,0,no,yes,5,1492,yes,yes,0
no,8,18,13,59,8,36,68,yes,no,9,0,0,0,no,no,4,2800,yes,yes,1
no,1,2,0,0,0,0,0,no,no,0,6,0,0,no,yes,2,3774,no,no,1
no,5,3,0,0,0,0,0,yes,no,0,0,9,0,yes,no,2,2466,yes,no,0
no,5,2,0,0,0,1,2,no,no,0,0,0,0,no,yes,11,1889,no,no,1
no,6,11,9,0,0,0,1,no,no,0,0,0,5,no,no,6,2070,yes,no,1
no,8,22,0,32,0,30,2,yes,no,5,0,0,0,yes,no,11,2192,yes,no,0
no,7,15,0,2,0,0,206,yes,no,0,0,0,0,yes,no,18,2254,yes,no,0
yes,2,2,0,0,0,0,0,no,no,0,0,0,0,no,no,8,2861,yes,no,1
no,6,9,1,45,0,48,0,yes,no,0,0,0,4,no,yes,12,3500,no,yes,1
no,2,22,1,33,0,11,0,no,no,0,0,0,0,no,yes,4,3074,yes,no,1
no,9,17,6,127,0,0,0,yes,no,0,0,0,0,yes,no,11,2678,yes,no,1
no,7,12,0,41,0,1,0,no,no,0,0,0,0,no,no,1,1917,yes,no,0
no,6,18,0,0,0,10,0,no,no,3,0,0,0,no,no,1,3288,yes,no,1
no,1,15,0,0,0,0,0,yes,no,0,0,0,0,no,yes,5,3623,yes,no,0
no,3,8,0,64,0,3,0,no,yes,4,0,0,0,no,yes,7,2466,no,no,1
no,8,16,2,229,2,111,234,yes,no,7,0,0,0,no,no,14,3774,yes,yes,1
no,10,19,2,200,0,67,244,yes,no,6,0,0,7,no,no,7,2647,yes,no,1
no,10,12,0,51,0,0,0,yes,no,5,0,0,0,yes,yes,3,2374,yes,no,1
no,8,24,0,0,0,0,0,no,no,2,0,0,0,no,yes,10,3105,yes,no,0
no,4,27,0,714,1,100,1,no,no,10,0,0,0,yes,yes,17,3166,yes,no,1
no,5,17,5,77,1,6,6,yes,no,0,0,0,0,yes,yes,6,3592,no,no,0
no,6,13,0,0,0,4,215,yes,no,0,0,0,0,yes,no,10,1066,yes,yes,1
no,6,28,0,4,0,31,3,no,no,11,0,0,0,no,no,2,2374,yes,no,1
no,3,5,0,0,0,0,0,no,no,0,0,0,0,no,yes,11,3684,no,no,1
no,5,5,0,563,0,94,3,yes,no,3,0,33,10,no,yes,16,2800,yes,no,0
no,2,14,6,195,0,61,0,yes,no,0,0,0,0,no,no,11,3409,no,no,0
no,2,4,0,0,0,0,17,no,no,0,0,0,0,no,yes,7,1827,yes,no,1
no,1,2,0,58,0,76,3,yes,no,0,0,0,2,no,no,2,2374,yes,no,1
yes,7,15,5,422,3,55,23,yes,no,0,0,0,0,no,no,5,2496,yes,no,1
no,7,4,0,2,0,0,0,yes,no,3,0,0,0,no,yes,2,2527,yes,no,1
no,8,15,0,65,1,58,4,no,no,0,0,0,3,yes,no,3,2343,yes,no,0
no,10,9,0,20,0,0,7,yes,no,5,0,0,0,no,no,24,2739,yes,no,1
no,7,10,0,57,0,15,0,no,no,0,0,1,0,no,no,1,2708,yes,no,1
no,8,18,6,26,0,17,34,no,no,3,0,0,0,no,no,11,3623,yes,no,1
no,9,18,0,18,0,21,2,yes,no,1,0,0,0,yes,yes,19,3623,yes,yes,0
no,7,1,0,141,0,62,19,no,no,4,0,0,6,yes,yes,0,1370,yes,no,0
no,5,8,0,214,10,26,45,no,no,0,0,0,0,no,no,7,1889,yes,no,1
no,1,12,11,17,0,26,323,yes,no,0,0,4,0,yes,no,10,1644,no,no,1
no,6,11,0,0,0,0,20,no,no,0,0,0,0,no,no,18,2708,yes,no,1
no,7,16,4,262,1,59,186,no,no,9,0,0,0,no,no,4,3623,yes,no,1
no,8,25,0,243,9,68,14,no,no,0,0,0,0,no,no,4,2678,no,no,1
no,10,18,0,246,0,43,1,yes,no,24,0,0,0,no,no,18,3531,yes,yes,0
no,2,4,0,0,0,0,14,no,no,0,0,0,0,no,no,2,2588,yes,no,1
no,6,18,0,0,0,0,0,no,no,0,0,0,0,no,yes,7,2404,yes,no,1
no,5,20,1,159,0,19,0,yes,no,0,0,0,0,yes,no,5,2009,yes,no,0
no,6,16,0,299,0,43,0,no,no,6,0,10,1,yes,no,12,2922,yes,no,1
no,4,3,0,282,1,47,91,no,no,7,0,0,0,no,yes,21,2192,yes,no,1
no,7,11,0,112,3,55,233,yes,no,1,0,4,0,no,yes,15,2588,yes,no,0
no,3,1,0,75,0,0,2,no,no,0,0,0,0,no,no,4,2039,no,no,1
yes,10,19,0,39,0,16,6,no,no,10,0,0,0,no,no,11,3531,yes,no,1
yes,9,12,4,256,0,10,37,yes,no,7,0,0,6,no,yes,3,3105,yes,no,1
no,9,23,18,99,1,101,147,no,no,14,0,0,0,yes,no,3,1917,yes,no,0
no,5,3,0,0,0,0,0,no,no,5,0,0,0,yes,no,1,2343,yes,yes,1
no,7,14,0,46,0,37,0,yes,no,14,0,0,0,yes,no,5,2678,yes,no,1
no,4,6,0,263,1,57,202,no,no,4,0,0,0,yes,no,6,2070,yes,no,1
no,7,11,0,139,0,34,133,no,no,0,0,0,0,yes,no,9,3013,yes,no,1
no,8,24,1,0,0,38,49,no,no,0,0,0,1,yes,no,7,3623,yes,no,1
no,2,7,0,5,0,10,0,no,no,0,0,0,0,yes,yes,1,3013,no,no,1
no,10,25,0,106,0,19,0,no,no,29,0,0,0,no,no,7,2343,no,no,0
no,6,12,4,392,1,116,17,yes,no,2,0,0,0,no,yes,3,2101,no,no,1
no,6,17,0,0,0,0,0,no,no,0,0,0,0,no,yes,11,3835,yes,no,0
no,1,1,0,0,0,0,11,no,no,10,0,0,0,yes,no,1,2131,no,no,1
no,4,3,0,94,1,35,21,no,no,1,0,0,0,yes,yes,3,1917,yes,no,1
yes,10,18,17,0,5,6,10,yes,no,3,0,0,0,no,no,0,2557,yes,no,1
no,5,10,0,0,0,0,3,no,yes,0,0,0,0,no,no,20,1736,yes,no,1
no,7,16,0,0,0,0,5,yes,no,0,0,0,0,no,no,16,2831,no,no,0
no,8,20,0,317,0,22,29,yes,no,12,0,0,1,no,no,11,2009,yes,no,1
no,7,16,0,10,0,30,12,no,no,0,0,0,0,yes,no,3,3044,yes,no,1
no,4,19,0,1,0,0,0,no,no,6,0,3,0,yes,yes,8,1978,yes,no,1
no,6,2,2,185,0,50,0,no,no,0,0,0,0,no,yes,6,2070,no,no,0
no,10,4,1,0,0,0,2,no,no,0,0,0,0,no,yes,5,2588,yes,no,1
no,9,11,0,5,0,36,89,yes,yes,0,0,4,1,no,no,23,3592,yes,no,1
no,7,27,0,451,5,88,98,yes,no,16,0,0,2,no,yes,5,2678,yes,no,1
no,1,1,0,0,0,0,0,no,no,10,0,0,0,no,no,3,3135,yes,no,1
no,8,11,0,35,0,26,120,no,no,1,0,0,0,no,no,9,1917,yes,no,1
no,5,8,0,0,0,0,0,yes,no,5,0,0,0,yes,yes,0,2619,no,no,1
no,9,1,0,2,0,46,42,no,no,0,0,0,32,yes,no,5,1461,yes,no,1
no,5,6,0,252,6,110,63,no,no,45,0,0,0,no,yes,16,2039,yes,no,1
no,5,18,0,4,0,12,329,no,no,0,0,0,0,yes,yes,23,3653,no,yes,1
no,5,23,13,80,0,40,164,yes,no,1,0,4,60,no,no,14,3135,yes,yes,1
no,9,18,0,172,0,11,0,no,no,13,0,0,0,yes,yes,7,3378,yes,no,1
no,8,17,3,207,0,87,104,yes,no,12,0,0,0,no,no,6,2588,yes,no,1
no,5,12,0,0,0,2,0,no,no,12,0,0,0,yes,no,11,2343,yes,no,1
no,9,17,0,405,0,59,2,yes,no,7,0,0,0,no,no,15,2708,yes,no,1
no,5,19,0,0,0,0,0,no,no,0,0,0,0,no,yes,10,2313,yes,no,1
no,10,12,0,0,0,0,5,no,no,0,0,0,0,no,no,9,2223,yes,no,1
no,8,12,0,0,0,0,22,yes,no,18,0,0,0,no,yes,2,2922,yes,no,1
no,6,16,0,392,0,105,9,yes,no,12,0,0,0,no,no,4,1552,yes,no,1
no,9,22,0,133,0,98,324,no,no,14,0,0,20,yes,no,0,1644,yes,no,0
no,8,5,0,112,0,113,0,yes,no,10,0,0,0,yes,no,6,2070,yes,no,0
no,5,14,0,221,0,65,5,no,no,1,0,0,0,no,no,3,2922,yes,no,1
no,9,6,3,55,2,33,159,no,no,0,0,46,43,no,no,3,2892,yes,no,1
no,1,20,0,6,0,0,0,no,no,0,0,0,0,no,no,5,2892,yes,no,1
no,1,1,0,0,0,0,4,no,no,0,0,0,0,no,no,12,2009,yes,no,1
no,8,4,1,25,0,22,0,no,no,0,0,0,0,no,no,5,4018,yes,no,1
no,5,21,0,9,4,19,9,no,no,7,0,0,0,no,no,8,2162,yes,no,0
no,5,21,0,283,0,78,23,no,no,0,0,0,0,yes,no,25,2466,no,no,0
no,9,5,3,60,0,18,0,no,no,0,0,6,0,yes,no,12,1948,yes,no,1
no,9,15,1,145,1,100,230,yes,no,2,0,2,1,yes,no,13,2070,no,no,1
no,10,9,0,368,0,34,0,no,no,6,0,0,0,no,no,10,2282,yes,no,0
no,9,3,0,93,0,100,1,no,no,0,0,2,8,yes,yes,23,2070,yes,no,0
yes,9,18,0,0,8,34,16,yes,no,0,0,0,0,no,no,2,2769,yes,no,1
no,3,1,0,0,0,0,0,yes,no,0,0,0,4,no,yes,4,3197,yes,yes,0
no,5,18,0,0,0,0,0,no,no,0,0,0,0,no,no,6,2466,yes,yes,1
no,5,12,0,0,0,0,0,no,no,0,0,0,0,no,yes,5,2039,yes,no,0
no,4,1,0,5,0,20,2,no,no,2,0,0,0,yes,no,11,1644,yes,no,1
no,5,1,0,0,0,40,6,no,no,12,0,0,0,no,no,0,2223,yes,no,1
no,7,17,11,190,1,96,6,yes,no,47,0,0,7,yes,no,8,2435,yes,no,1
no,3,17,0,0,0,0,0,no,no,0,0,0,0,no,no,5,4080,yes,no,0
no,10,28,16,15,0,50,0,yes,no,25,0,7,22,yes,no,10,2009,no,no,1
no,1,4,1,159,0,56,170,yes,no,14,0,0,0,no,no,3,1400,no,no,1
no,1,3,0,0,0,2,0,no,no,0,0,0,0,no,no,11,4080,yes,no,0
no,5,12,0,79,0,58,2,no,no,0,0,0,0,no,no,8,2404,yes,no,0
no,7,1,0,0,0,0,2,yes,no,0,0,0,0,no,no,16,2313,yes,no,1
no,10,24,0,2,0,61,55,no,no,2,0,0,17,no,no,11,2435,yes,no,1
no,5,18,0,1,0,0,112,no,no,2,0,0,0,no,no,8,1674,yes,no,1
no,3,9,5,0,0,0,173,yes,no,0,0,0,0,no,no,26,1705,yes,no,1
no,5,1,0,0,0,0,9,no,no,0,0,0,0,no,no,11,2708,no,no,1
no,8,3,0,0,1,0,6,yes,no,0,0,0,2,no,no,13,2223,no,no,0
no,1,3,0,1,0,0,70,no,no,0,0,0,0,no,no,1,2282,no,no,1
no,8,16,0,4,0,16,14,yes,yes,3,0,0,0,no,no,21,2769,yes,no,1
no,6,1,0,30,0,14,3,no,no,0,0,0,0,no,no,11,2861,yes,no,1
no,6,2,0,21,0,2,114,yes,no,18,0,6,0,yes,no,10,1400,no,yes,0
no,3,6,0,251,0,93,12,no,no,2,7,0,0,no,no,6,1461,yes,no,0
no,4,1,0,28,0,0,0,yes,no,2,0,0,0,yes,yes,0,3197,yes,no,0
no,10,22,5,141,5,35,6,no,no,0,0,2,0,no,yes,9,3105,yes,no,1
no,8,14,9,32,0,55,22,yes,no,0,0,0,3,yes,no,10,2466,yes,yes,1
no,10,14,0,0,0,7,0,no,no,0,0,6,0,no,no,6,3288,yes,no,0
no,7,1,0,51,0,39,1,no,no,1,0,1,0,no,no,22,3013,yes,no,1
no,6,12,0,0,0,1,0,no,no,0,0,0,0,no,no,10,4049,yes,no,1
no,8,20,0,132,0,79,149,no,no,0,0,0,0,no,no,0,2313,yes,no,0
no,7,18,0,59,0,105,13,no,no,10,0,0,3,no,no,2,2588,yes,no,1
no,2,15,0,4,0,0,1,no,no,1,0,0,0,no,yes,3,3592,yes,no,1
no,9,13,0,28,0,42,47,no,no,9,0,0,0,yes,yes,1,1948,yes,no,0
no,5,19,0,226,0,102,0,no,no,0,0,0,0,no,no,0,3715,yes,no,1
no,9,18,0,0,0,0,49,no,no,0,0,0,0,no,no,12,3684,yes,no,0
no,2,9,0,0,0,0,1,no,no,0,0,0,0,no,yes,4,2282,no,no,0
no,9,20,0,132,0,12,7,no,no,3,0,0,0,yes,no,24,3470,yes,no,1
no,8,11,0,191,0,74,79,no,no,7,0,0,0,yes,no,2,2892,yes,no,0
no,9,11,0,0,0,0,0,no,no,1,0,0,0,yes,no,12,2131,yes,no,1
no,2,1,0,40,1,15,6,no,no,0,0,0,0,yes,yes,25,2769,yes,no,1
no,8,16,4,15,0,0,0,yes,no,6,0,0,2,no,yes,1,2769,yes,no,1
no,5,2,0,45,0,0,0,no,no,46,0,0,0,no,no,9,2254,yes,no,1
no,2,3,0,0,0,0,436,yes,no,0,0,0,0,yes,no,7,2496,yes,yes,1
no,5,2,0,58,0,0,1,no,no,0,0,0,0,yes,no,17,3592,yes,no,1
no,6,13,0,0,1,34,193,no,no,0,0,0,0,yes,yes,13,2254,yes,no,1
no,10,18,0,44,0,10,67,yes,yes,0,0,0,0,no,no,13,2647,yes,no,1
no,1,1,0,16,0,13,15,no,no,0,0,0,0,no,yes,4,2313,yes,no,1
no,2,5,0,41,0,52,2,yes,no,0,0,0,16,no,no,1,2922,yes,no,1
no,10,16,11,76,0,14,20,yes,no,71,0,0,1,yes,no,9,1339,yes,no,1
no,2,8,0,0,0,0,0,no,no,0,0,10,1,no,yes,11,3319,no,no,1
no,10,17,1,270,0,43,0,yes,no,69,0,1,0,no,yes,0,2101,yes,no,1
no,2,1,0,4,0,28,3,no,no,1,0,0,0,no,no,4,2254,no,no,1
no,4,3,2,0,0,19,162,yes,no,0,0,0,0,no,yes,15,2892,yes,yes,1
yes,8,21,0,253,9,108,12,no,no,19,0,0,0,no,no,8,1400,yes,no,0
no,8,23,0,0,0,0,1,no,no,4,0,0,0,no,yes,12,2922,yes,no,1
no,2,10,0,0,1,2,135,yes,no,0,0,0,0,no,no,8,2892,no,no,1
no,6,3,0,245,0,1,0,no,yes,5,0,0,0,no,yes,1,3743,yes,no,1
no,5,13,3,121,0,32,2,yes,no,8,0,0,0,no,no,0,2861,yes,no,1
no,10,19,0,16,1,0,481,no,no,5,0,0,0,yes,yes,13,2922,yes,yes,1
no,10,19,0,0,0,0,0,yes,no,3,0,0,0,no,no,10,3896,yes,no,1
no,10,5,0,209,0,46,27,yes,no,3,0,0,0,no,no,15,1674,yes,no,1
no,9,15,0,368,0,91,1,no,no,14,0,0,0,no,no,9,2374,yes,no,0
no,6,9,1,191,0,28,4,no,no,0,0,0,0,yes,no,14,2739,yes,no,1
no,2,9,1,0,0,20,0,no,no,0,0,0,1,no,no,9,2313,no,no,0
no,8,18,0,26,0,2,3,yes,no,0,0,0,0,no,no,5,2101,no,no,0
yes,8,21,4,28,0,1,144,no,no,0,0,8,2,yes,yes,4,2254,no,no,1
no,10,28,0,157,0,106,4,no,no,2,0,0,0,no,no,36,2131,yes,no,1
no,8,19,0,0,0,0,7,no,no,0,0,0,0,yes,yes,10,1797,no,no,1
no,4,3,0,47,0,71,2,no,no,0,0,0,0,no,no,9,1674,yes,no,0
no,9,19,0,182,0,41,12,no,no,0,0,0,0,yes,no,9,3135,yes,no,1
no,7,2,0,31,0,5,10,no,no,0,37,1,22,no,yes,11,2374,no,no,0
no,5,9,0,58,2,43,398,yes,no,24,0,0,0,yes,no,2,2466,yes,no,1
no,7,12,1,87,0,14,0,yes,no,2,0,0,0,no,yes,11,3013,yes,no,0
no,6,7,0,0,0,0,0,no,no,0,0,0,0,no,yes,10,2769,yes,no,1
no,7,10,0,0,0,0,206,no,no,0,0,0,0,no,no,35,2922,yes,no,1
no,8,20,0,223,0,83,0,no,no,15,0,0,0,no,no,4,2892,no,no,0
no,6,19,0,31,0,0,0,no,no,0,3,0,0,no,yes,5,3105,yes,no,1
no,8,18,1,16,0,10,14,yes,no,0,0,4,0,yes,no,27,2131,yes,yes,0
no,10,13,0,153,0,18,3,yes,no,4,0,0,0,no,no,21,1674,yes,yes,0
no,6,24,2,0,0,52,421,no,no,0,0,0,0,no,no,19,2800,yes,no,1
no,1,7,0,113,1,106,187,no,no,0,0,0,0,yes,no,9,2374,no,no,1
no,9,20,6,32,0,95,27,no,no,0,0,0,0,yes,no,21,1978,yes,no,1
no,10,21,0,74,0,41,105,no,no,2,0,0,0,no,no,14,2739,yes,no,0
no,8,8,0,249,0,49,1,no,no,1,0,0,0,yes,no,4,3835,yes,no,1
no,8,11,5,0,0,9,0,yes,no,0,0,0,0,no,no,0,2619,yes,no,1
no,6,12,12,0,0,9,9,yes,no,0,0,0,1,yes,no,9,2922,no,no,1
no,8,19,0,276,0,0,0,no,no,0,0,0,0,no,no,6,2527,yes,no,1
no,5,22,0,180,0,16,0,no,no,0,0,0,0,yes,yes,8,2769,yes,no,1
no,5,18,0,137,1,105,294,no,no,1,0,0,0,yes,yes,6,2070,yes,no,1
no,6,18,0,25,0,70,6,no,no,0,0,0,5,no,no,8,3288,yes,yes,0
no,6,14,0,20,0,0,81,no,no,2,0,0,0,yes,no,9,2953,yes,no,0
no,2,1,0,0,0,0,0,no,no,0,0,0,0,no,yes,8,3927,no,no,0
no,7,23,0,117,0,39,122,no,no,0,0,0,0,yes,no,20,2922,yes,no,1
no,6,1,0,0,0,0,1,no,no,0,0,0,0,yes,no,7,2282,yes,no,1
no,8,17,0,120,1,40,309,no,no,0,0,0,3,yes,no,30,3470,yes,no,1
no,6,1,0,10,0,6,22,no,no,0,0,8,6,yes,yes,2,2101,yes,no,1
no,1,7,0,26,0,36,0,yes,no,0,0,5,41,yes,no,6,3684,yes,no,0
no,8,21,0,24,0,32,482,no,no,2,0,0,0,yes,no,7,2009,no,no,1
no,6,21,0,0,0,27,0,no,no,0,0,0,0,no,yes,9,3074,yes,no,0
no,7,19,0,94,0,6,2,yes,yes,24,0,0,0,yes,no,4,2678,yes,no,1
no,10,20,0,63,0,85,0,no,no,0,0,0,0,yes,no,5,2678,no,no,1
no,1,17,1,0,0,0,69,yes,no,0,0,0,6,yes,no,5,3500,no,no,1
no,9,19,0,36,0,83,19,no,no,3,0,0,0,no,no,7,2192,yes,no,1
no,9,12,0,0,0,2,0,no,no,0,0,0,0,no,yes,5,3896,yes,no,1
no,3,9,0,69,0,33,0,no,no,0,0,0,0,no,no,7,2131,yes,no,1
yes,1,1,0,0,0,0,14,no,no,0,0,0,0,yes,yes,2,4049,yes,no,0
yes,7,15,0,0,0,5,3,no,no,0,68,0,0,no,yes,22,2192,yes,no,0
no,9,8,0,129,0,96,0,no,no,1,0,0,0,no,yes,7,1400,yes,no,1
no,8,2,0,244,0,4,0,no,no,1,0,0,0,no,no,2,2374,no,no,1
no,7,3,0,141,0,27,0,no,no,0,0,0,0,no,yes,9,3743,yes,no,0
no,7,19,2,244,0,24,0,yes,no,37,0,6,0,yes,no,8,2588,yes,no,1
no,4,3,0,4,0,107,0,no,no,3,0,0,6,no,no,1,3804,yes,no,1
no,10,24,7,384,1,117,52,yes,no,4,0,0,0,yes,no,4,1917,yes,yes,1
no,6,14,2,135,0,68,2,yes,no,4,0,0,0,no,no,3,1948,yes,no,1
no,1,1,0,0,0,0,6,no,no,0,0,0,0,no,no,7,2343,no,no,1
no,5,9,0,155,0,67,1,yes,no,0,0,5,0,no,no,4,2404,yes,no,0
no,7,14,0,0,0,42,16,no,no,1,0,0,0,yes,no,5,2039,yes,no,1
no,2,1,0,80,0,86,419,no,no,3,0,0,0,yes,no,4,1736,yes,no,1
no,9,13,11,371,2,101,4,yes,no,13,0,0,0,no,no,23,2619,yes,no,0
no,2,1,0,0,0,3,0,no,no,0,0,0,0,no,no,7,3715,no,no,0
no,2,11,0,0,0,0,0,no,no,0,0,0,0,no,no,8,4049,yes,no,1
no,9,14,0,94,0,58,183,no,no,34,1,0,0,yes,no,2,2708,yes,no,0
